"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"1",0,3,"female",37,0,0,9.5875,"S"
"2",0,2,"male",47,0,0,15,"S"
"3",0,3,"male",43,0,0,6.45,"S"
"4",0,3,"male",24,0,0,9.5,"S"
"5",0,2,"male",32,0,0,10.5,"S"
"6",0,3,"male",14,5,2,46.9,"S"
"7",1,1,"male",25,1,0,55.4417,"C"
"8",0,3,"male",28,0,0,7.7958,"S"
"9",1,3,"female",NA,0,0,7.7333,"Q"
"10",1,1,"female",NA,0,0,110.8833,"C"
"11",1,1,"female",18,2,2,262.375,"C"
"12",0,2,"male",NA,0,0,0,"S"
"13",0,3,"male",NA,0,0,7.75,"Q"
"14",0,3,"male",45,0,0,6.975,"S"
"15",1,1,"female",22,1,0,66.6,"S"
"16",0,3,"male",NA,0,0,7.8958,"S"
"17",0,3,"male",36,1,1,24.15,"S"
"18",0,1,"male",NA,0,0,39.6,"C"
"19",0,3,"male",16,1,1,20.25,"S"
"20",1,1,"male",11,1,2,120,"S"
"21",0,3,"male",NA,0,0,7.8958,"S"
"22",0,3,"male",NA,1,0,15.5,"Q"
"23",1,3,"female",36,1,0,17.4,"S"
"24",0,3,"male",18,1,1,7.8542,"S"
"25",0,3,"male",19,0,0,0,"S"
"26",1,1,"female",50,0,1,247.5208,"C"
"27",0,3,"male",NA,0,0,7.75,"Q"
"28",0,2,"male",42,0,0,13,"S"
"29",0,1,"male",30,0,0,27.75,"C"
"30",1,2,"male",0.83,1,1,18.75,"S"
"31",1,2,"female",42,1,0,26,"S"
"32",1,2,"female",29,1,0,26,"S"
"33",1,3,"male",29,0,0,7.75,"Q"
"34",0,3,"male",34,0,0,6.4958,"S"
"35",1,1,"female",52,1,0,78.2667,"C"
"36",0,3,"female",20,0,0,8.6625,"S"
"37",1,3,"female",4,0,1,13.4167,"C"
"38",0,1,"male",NA,0,0,27.7208,"C"
"39",1,2,"female",NA,0,0,12.35,"Q"
"40",1,3,"female",15,0,0,7.225,"C"
"41",0,2,"male",18,0,0,11.5,"S"
"42",0,2,"male",43,1,1,26.25,"S"
"43",0,3,"female",30,1,1,24.15,"S"
"44",0,3,"female",31,0,0,7.8542,"S"
"45",1,3,"female",26,0,0,7.8542,"S"
"46",1,3,"male",12,1,0,11.2417,"C"
"47",0,3,"male",17,0,0,8.6625,"S"
"48",1,1,"male",60,1,1,79.2,"C"
"49",1,1,"male",36,0,0,26.3875,"S"
"50",1,3,"female",0.75,2,1,19.2583,"C"
"51",0,3,"male",30,0,0,8.05,"S"
"52",0,3,"male",17,0,0,7.125,"S"
"53",1,3,"female",5,4,2,31.3875,"S"
"54",1,1,"female",14,1,2,120,"S"
"55",0,1,"male",31,0,0,50.4958,"S"
"56",0,2,"female",24,0,0,13,"S"
"57",1,2,"female",18,0,2,13,"S"
"58",0,2,"male",54,1,0,26,"S"
"59",1,3,"male",24,0,0,7.1417,"S"
"60",0,3,"male",26,0,0,7.8875,"S"
"61",0,3,"male",30,0,0,8.05,"S"
"62",1,3,"female",NA,0,2,22.3583,"C"
"63",0,3,"male",NA,0,0,7.25,"S"
"64",0,3,"male",NA,0,0,7.7375,"Q"
"65",1,1,"female",30,0,0,106.425,"C"
"66",0,2,"male",NA,0,0,0,"S"
"67",0,3,"male",NA,8,2,69.55,"S"
"68",0,3,"male",21,0,0,16.1,"S"
"69",0,3,"female",18,0,1,14.4542,"C"
"70",0,3,"male",NA,0,0,7.8958,"S"
"71",0,3,"male",32,0,0,8.3625,"S"
"72",1,1,"female",26,0,0,78.85,"S"
"73",0,3,"male",NA,3,1,25.4667,"S"
"74",0,3,"male",NA,0,0,7.25,"S"
"75",1,1,"male",4,0,2,81.8583,"S"
"76",0,1,"male",24,0,1,247.5208,"C"
"77",0,3,"male",17,1,1,7.2292,"C"
"78",0,2,"male",31,0,0,10.5,"S"
"79",0,3,"male",20,0,0,7.925,"S"
"80",1,3,"male",21,0,0,7.7958,"S"
"81",1,1,"female",NA,1,0,51.8625,"S"
"82",0,3,"male",22,0,0,7.25,"S"
"83",1,1,"male",38,1,0,90,"S"
"84",0,3,"male",74,0,0,7.775,"S"
"85",0,3,"male",21,0,0,7.8,"S"
"86",1,2,"male",0.83,0,2,29,"S"
"87",1,1,"female",43,0,1,211.3375,"S"
"88",0,3,"male",35,0,0,7.8958,"C"
"89",0,3,"male",NA,0,0,8.05,"S"
"90",0,3,"male",NA,1,0,19.9667,"S"
"91",0,3,"male",32,0,0,7.925,"S"
"92",1,1,"female",48,1,0,39.6,"C"
"93",0,3,"female",NA,0,2,7.75,"Q"
"94",0,3,"female",NA,0,0,8.05,"S"
"95",1,3,"male",NA,0,0,8.1125,"S"
"96",1,1,"male",35,0,0,26.2875,"S"
"97",0,3,"male",NA,0,0,7.8958,"C"
"98",0,1,"male",NA,0,0,0,"S"
"99",0,1,"male",45.5,0,0,28.5,"S"
"100",0,3,"male",40,0,0,7.8958,"S"
"101",0,3,"female",47,1,0,14.5,"S"
"102",0,3,"male",44,0,1,16.1,"S"
"103",1,2,"female",5,1,2,27.75,"S"
"104",0,3,"male",30,0,0,7.25,"S"
"105",0,3,"male",NA,1,0,24.15,"Q"
"106",0,3,"male",25,1,0,17.8,"S"
"107",0,3,"male",22,0,0,8.05,"S"
"108",0,3,"female",NA,0,2,15.2458,"C"
"109",0,1,"male",28,1,0,82.1708,"C"
"110",0,3,"male",30.5,0,0,8.05,"S"
"111",0,2,"female",57,0,0,10.5,"S"
"112",0,3,"female",40,1,0,9.475,"S"
"113",0,1,"male",50,1,0,55.9,"S"
"114",1,1,"male",42,0,0,26.2875,"S"
"115",0,3,"male",36,0,0,7.4958,"S"
"116",0,1,"male",42,1,0,52,"S"
"117",0,2,"male",21,0,0,73.5,"S"
"118",0,2,"male",23,0,0,13,"S"
"119",1,2,"female",32,0,0,13,"S"
"120",0,3,"male",NA,0,0,7.225,"C"
"121",0,3,"male",1,5,2,46.9,"S"
"122",0,3,"male",NA,0,0,9.5,"S"
"123",1,1,"female",24,3,2,263,"S"
"124",1,3,"female",27,0,2,11.1333,"S"
"125",0,3,"male",NA,0,0,7.8292,"Q"
"126",0,2,"male",30,0,0,13,"S"
"127",1,2,"male",19,0,0,10.5,"S"
"128",1,1,"male",32,0,0,30.5,"C"
"129",0,3,"male",44,0,0,8.05,"S"
"130",0,3,"male",24.5,0,0,8.05,"S"
"131",1,1,"male",36,1,2,120,"S"
"132",1,1,"female",30,0,0,31,"C"
"133",0,3,"male",28,2,0,7.925,"S"
"134",1,1,"male",23,0,1,63.3583,"C"
"135",0,2,"male",31,1,1,26.25,"S"
"136",0,1,"male",45,0,0,26.55,"S"
"137",0,2,"male",31,1,1,37.0042,"C"
"138",1,2,"female",40,1,1,39,"S"
"139",0,1,"male",37,1,0,53.1,"S"
"140",0,3,"male",NA,0,0,7.75,"Q"
"141",0,3,"male",16,0,0,9.2167,"S"
"142",0,2,"male",42,1,0,27,"S"
"143",1,1,"female",58,0,1,153.4625,"S"
"144",0,2,"male",19,0,0,13,"S"
"145",0,3,"male",24,0,0,7.05,"S"
"146",0,3,"female",21,2,2,34.375,"S"
"147",0,3,"male",NA,0,0,8.05,"S"
"148",1,1,"female",40,0,0,153.4625,"S"
"149",1,1,"female",35,0,0,135.6333,"S"
"150",0,3,"male",NA,0,0,8.05,"S"
"151",0,3,"male",NA,1,0,15.5,"Q"
"152",1,3,"female",35,1,1,20.25,"S"
"153",0,3,"male",42,0,0,7.55,"S"
"154",0,3,"male",22,0,0,7.25,"S"
"155",1,1,"female",NA,1,0,82.1708,"C"
"156",1,1,"female",17,1,0,57,"S"
"157",1,1,"female",49,1,0,76.7292,"C"
"158",1,3,"female",NA,0,0,7.8792,"Q"
"159",1,1,"female",35,1,0,53.1,"S"
"160",1,2,"female",14,1,0,30.0708,"C"
"161",0,3,"male",NA,1,0,7.75,"Q"
"162",1,3,"female",17,4,2,7.925,"S"
"163",0,3,"male",59,0,0,7.25,"S"
"164",0,3,"male",24,0,0,8.05,"S"
"165",1,2,"female",25,0,1,26,"S"
"166",0,3,"male",36,0,0,0,"S"
"167",1,1,"female",48,0,0,25.9292,"S"
"168",0,3,"male",18,1,0,6.4958,"S"
"169",0,2,"male",52,0,0,13,"S"
"170",0,3,"male",25,0,0,7.8958,"S"
"171",0,3,"male",4,4,1,29.125,"Q"
"172",0,2,"male",27,0,0,13,"S"
"173",0,3,"male",33,0,0,8.6625,"C"
"174",0,3,"male",26,1,0,7.8542,"S"
"175",1,3,"male",NA,0,0,7.75,"Q"
"176",1,1,"female",21,2,2,262.375,"C"
"177",1,3,"female",24,0,2,16.7,"S"
"178",1,3,"male",39,0,0,7.925,"S"
"179",0,3,"male",24,2,0,24.15,"S"
"180",0,3,"female",NA,8,2,69.55,"S"
"181",1,1,"male",NA,0,0,30,"S"
"182",1,3,"male",NA,0,0,56.4958,"S"
"183",0,2,"male",33,0,0,12.275,"S"
"184",0,2,"male",28,0,0,10.5,"S"
"185",1,3,"female",NA,0,0,7.75,"Q"
"186",1,1,"female",54,1,0,59.4,"C"
"187",1,2,"female",24,1,2,65,"S"
"188",1,2,"female",23,0,0,13.7917,"C"
"189",0,1,"male",56,0,0,30.6958,"C"
"190",0,2,"male",29,0,0,10.5,"S"
"191",0,3,"male",NA,1,2,23.45,"S"
"192",1,3,"female",1,1,1,11.1333,"S"
"193",0,1,"male",NA,0,0,0,"S"
"194",1,3,"male",20,1,1,15.7417,"C"
"195",0,1,"male",70,1,1,71,"S"
"196",1,2,"female",40,0,0,15.75,"S"
"197",0,2,"male",25,0,0,13,"S"
"198",0,3,"male",7,4,1,39.6875,"S"
"199",1,3,"male",44,0,0,7.925,"S"
"200",1,1,"female",39,1,1,83.1583,"C"
"201",1,3,"male",31,0,0,7.925,"S"
"202",1,1,"male",0.92,1,2,151.55,"S"
"203",0,2,"male",70,0,0,10.5,"S"
"204",0,1,"male",60,0,0,26.55,"S"
"205",0,1,"male",46,1,0,61.175,"S"
"206",1,1,"female",31,1,0,113.275,"C"
"207",0,3,"male",NA,0,0,8.05,"S"
"208",0,3,"male",42,0,0,8.6625,"S"
"209",0,3,"male",2,3,1,21.075,"S"
"210",1,3,"female",30,0,0,12.475,"S"
"211",0,1,"male",38,0,0,0,"S"
"212",1,1,"female",31,0,2,164.8667,"S"
"213",0,3,"male",30,0,0,7.2292,"C"
"214",0,3,"male",40.5,0,0,7.75,"Q"
"215",0,2,"male",34,0,0,13,"S"
"216",0,3,"male",29,0,0,9.4833,"S"
"217",1,2,"female",28,1,0,26,"S"
"218",1,1,"female",38,1,0,71.2833,"C"
"219",0,3,"male",NA,0,0,7.75,"Q"
"220",1,1,"male",42,1,0,52.5542,"S"
"221",0,1,"male",62,0,0,26.55,"S"
"222",0,3,"female",18,2,0,18,"S"
"223",0,3,"male",31,0,0,7.775,"S"
"224",1,1,"male",28,0,0,26.55,"S"
"225",1,3,"male",29,0,0,9.5,"S"
"226",0,3,"female",41,0,2,20.2125,"S"
"227",0,3,"male",NA,0,0,7.7292,"Q"
"228",1,3,"female",27,0,1,12.475,"S"
"229",1,1,"female",17,1,0,108.9,"C"
"230",1,2,"female",19,0,0,26,"S"
"231",0,3,"male",16,4,1,39.6875,"S"
"232",0,2,"female",27,1,0,21,"S"
"233",0,3,"male",27,0,0,7.8958,"S"
"234",0,3,"male",49,0,0,0,"S"
"235",0,3,"male",NA,0,0,7.8958,"S"
"236",1,3,"female",NA,1,1,22.3583,"C"
"237",0,3,"male",32,0,0,7.925,"S"
"238",0,3,"female",6,4,2,31.275,"S"
"239",0,2,"male",54,0,0,14,"S"
"240",0,3,"male",28,0,0,9.5,"S"
"241",0,1,"male",51,0,1,61.3792,"C"
"242",1,2,"female",24,1,0,26,"S"
"243",0,2,"male",23,2,1,11.5,"S"
"244",1,3,"male",32,0,0,7.925,"S"
"245",0,3,"male",19,0,0,7.775,"S"
"246",0,2,"male",39,0,0,26,"S"
"247",1,1,"female",24,0,0,69.3,"C"
"248",1,1,"male",37,1,1,52.5542,"S"
"249",0,3,"male",21,0,0,7.8542,"S"
"250",1,3,"female",18,0,0,7.4958,"S"
"251",0,3,"male",29,1,0,7.0458,"S"
"252",0,1,"male",64,1,4,263,"S"
"253",0,3,"male",NA,0,0,7.3125,"S"
"254",0,1,"male",47,0,0,38.5,"S"
"255",0,2,"male",30,1,0,24,"C"
"256",1,3,"female",NA,0,0,7.75,"Q"
"257",0,3,"male",18,0,0,8.3,"S"
"258",0,3,"male",35,0,0,8.05,"S"
"259",0,1,"male",28,0,0,47.1,"S"
"260",0,3,"male",34,1,1,14.4,"S"
"261",0,3,"female",NA,0,0,8.1375,"Q"
"262",0,3,"female",2,3,2,27.9,"S"
"263",1,1,"female",16,0,0,86.5,"S"
"264",0,3,"male",27,1,0,14.4542,"C"
"265",0,1,"male",NA,0,0,30.6958,"C"
"266",0,2,"male",52,0,0,13.5,"S"
"267",1,1,"male",17,0,2,110.8833,"C"
"268",0,2,"male",21,2,0,73.5,"S"
"269",1,3,"female",4,1,1,16.7,"S"
"270",0,3,"male",29,0,0,8.05,"S"
"271",1,2,"female",34,0,0,13,"S"
"272",0,3,"male",NA,0,0,7.55,"S"
"273",0,3,"male",18,0,0,7.7958,"S"
"274",0,3,"male",21,0,0,7.7333,"Q"
"275",0,3,"male",NA,0,0,7.05,"S"
"276",1,2,"female",50,0,0,10.5,"S"
"277",0,3,"female",9,3,2,27.9,"S"
"278",0,2,"male",NA,0,0,0,"S"
"279",1,3,"male",32,0,0,8.05,"S"
"280",0,1,"male",NA,0,0,25.925,"S"
"281",0,3,"female",39,1,5,31.275,"S"
"282",0,3,"male",34,0,0,8.05,"S"
"283",1,1,"female",54,1,0,78.2667,"C"
"284",1,2,"male",3,1,1,18.75,"S"
"285",1,2,"female",24,0,2,14.5,"S"
"286",1,1,"male",51,0,0,26.55,"S"
"287",1,1,"male",49,1,0,89.1042,"C"
"288",0,3,"male",47,0,0,9,"S"
"289",0,3,"male",20,0,0,8.6625,"S"
"290",0,3,"male",50,0,0,8.05,"S"
"291",0,1,"male",52,1,1,79.65,"S"
"292",0,3,"male",9,4,2,31.3875,"S"
"293",0,2,"male",28,0,0,13,"S"
"294",1,1,"male",35,0,0,26.55,"C"
"295",1,3,"female",38,1,5,31.3875,"S"
"296",0,3,"male",14,4,1,39.6875,"S"
"297",1,2,"male",32,1,0,26,"S"
"298",0,3,"male",51,0,0,8.05,"S"
"299",0,3,"male",25,0,0,7.225,"C"
"300",1,3,"male",26,0,0,18.7875,"C"
"301",1,1,"male",52,0,0,30.5,"S"
"302",0,3,"male",NA,0,0,7.2292,"C"
"303",0,3,"female",29,1,1,10.4625,"S"
"304",0,3,"male",21,0,0,7.775,"S"
"305",0,3,"male",NA,0,0,15.1,"S"
"306",0,2,"male",34,0,0,13,"S"
"307",1,1,"female",NA,0,1,55,"S"
"308",0,1,"male",18,1,0,108.9,"C"
"309",0,3,"female",14,0,0,7.8542,"S"
"310",1,2,"female",34,0,0,10.5,"S"
"311",0,3,"male",28,1,0,15.85,"S"
"312",0,1,"female",2,1,2,151.55,"S"
"313",0,3,"female",NA,0,0,7.55,"S"
"314",1,1,"male",NA,0,0,30.5,"S"
"315",1,1,"male",36,0,1,512.3292,"C"
"316",0,2,"male",24,2,0,73.5,"S"
"317",1,1,"female",40,1,1,134.5,"C"
"318",1,1,"female",49,0,0,25.9292,"S"
"319",0,3,"male",23,0,0,7.8958,"S"
"320",1,1,"female",42,0,0,227.525,"C"
"321",1,1,"female",30,0,0,93.5,"S"
"322",0,3,"male",9,5,2,46.9,"S"
"323",0,3,"male",NA,0,0,8.05,"S"
"324",0,2,"male",21,1,0,11.5,"S"
"325",0,2,"male",59,0,0,13.5,"S"
"326",0,2,"male",25,1,2,41.5792,"C"
"327",0,3,"female",30,0,0,8.6625,"S"
"328",0,2,"male",35,0,0,26,"S"
"329",1,1,"female",22,0,0,151.55,"S"
"330",0,3,"male",40,1,1,15.5,"Q"
"331",0,1,"female",50,0,0,28.7125,"C"
"332",1,1,"female",16,0,1,57.9792,"C"
"333",0,3,"male",30,1,0,16.1,"S"
"334",1,1,"female",33,1,0,53.1,"S"
"335",0,3,"male",38,0,0,7.05,"S"
"336",0,3,"female",18,1,0,17.8,"S"
"337",0,1,"male",33,0,0,5,"S"
"338",0,1,"male",36,0,0,40.125,"C"
"339",0,3,"male",19,0,0,7.65,"S"
"340",0,3,"male",19,0,0,8.1583,"S"
"341",0,2,"male",54,0,0,26,"S"
"342",0,3,"male",23.5,0,0,7.2292,"C"
"343",1,3,"female",NA,0,0,7.8792,"Q"
"344",0,3,"male",NA,2,0,21.6792,"C"
"345",1,1,"female",16,0,1,39.4,"S"
"346",1,3,"female",18,0,1,9.35,"S"
"347",1,3,"male",NA,1,1,15.2458,"C"
"348",0,3,"male",8,4,1,29.125,"Q"
"349",1,1,"female",39,1,1,110.8833,"C"
"350",0,2,"male",66,0,0,10.5,"S"
"351",0,1,"male",39,0,0,0,"S"
"352",0,3,"male",17,0,0,8.6625,"S"
"353",0,3,"female",21,0,0,7.75,"Q"
"354",0,3,"male",43,0,0,8.05,"S"
"355",1,3,"female",NA,2,0,23.25,"Q"
"356",0,2,"male",36,0,0,10.5,"S"
